pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
0,0.501987099647522,-1.341104507446289e-05,-6.884336471557617e-05,0.45635977387428284,8,2
0,0.501987874507904,-1.2636184692382812e-05,-7.402896881103516e-05,0.45635902881622314,6,1
0,0.5019909143447876,6.556510925292969e-07,-4.392862319946289e-05,0.4563553035259247,13,3
0,0.5019902586936951,1.0728836059570312e-05,-5.036592483520508e-05,0.4563460052013397,32,6
0,0.5019795298576355,-3.874301910400391e-06,-2.09808349609375e-05,0.4563485383987427,30,6
0,0.501988410949707,-2.5033950805664062e-06,-4.64320182800293e-05,0.4563556909561157,16,3
0,0.501988410949707,-2.5033950805664062e-06,-4.64320182800293e-05,0.4563556909561157,16,3
0,0.501984179019928,-4.112720489501953e-06,-2.9802322387695312e-05,0.45635223388671875,22,4
0,0.5019950270652771,-3.4570693969726562e-06,-6.091594696044922e-05,0.4563598930835724,11,2
0,0.5020351409912109,4.8041343688964844e-05,-3.695487976074219e-05,0.4563703238964081,10,2
0,0.5019690990447998,0.0,-2.2470951080322266e-05,0.4563366174697876,69,14
0,0.5020027160644531,-1.1265277862548828e-05,-5.918741226196289e-05,0.4563727080821991,5,1
0,0.5019909143447876,6.556510925292969e-07,-4.392862319946289e-05,0.4563553035259247,13,3
0,0.501987874507904,-1.2636184692382812e-05,-7.402896881103516e-05,0.45635902881622314,7,1
0,0.5019909143447876,6.556510925292969e-07,-4.392862319946289e-05,0.4563553035259247,13,3
0,0.5019902586936951,3.159046173095703e-06,-6.568431854248047e-05,0.4563537836074829,10,2
0,0.5020005106925964,-2.205371856689453e-06,-6.139278411865234e-05,0.45636576414108276,6,1
0,0.5020005106925964,-2.205371856689453e-06,-6.139278411865234e-05,0.45636576414108276,6,1
0,0.5019902586936951,3.159046173095703e-06,-6.568431854248047e-05,0.4563537836074829,10,2
0,0.5019894242286682,1.5497207641601562e-06,-6.651878356933594e-05,0.4563557803630829,9,2
